iterations,1,2,3,4,5,6
1,21940,27789,29803,28148,30118,55910
2,20991,22134,24244,22611,22537,22601
4,21855,22054,21411,21567,22875,22173
8,21088,21974,21865,22286,22920,22306
16,21893,22823,21834,21400,22241,22514
32,21234,22336,22166,22492,22215,21999
64,21207,22726,21707,22124,21645,22316
128,21067,22421,21486,22348,22160,22003
256,21053,22468,21954,22676,21882,22238
512,21728,22223,21657,22799,22499,22019
1024,22036,22737,21863,22374,22249,22376
2048,21835,23087,22113,22145,22499,23212
4096,21747,21681,22225,22915,22554,23408
8192,22089,22875,22611,23430,23844,25028
16384,21913,22329,24401,25425,25317,27362
32768,22539,22826,26599,27736,27623,32913
65536,23431,24193,32534,32176,33208,43067
131072,25793,26320,43602,43238,45188,65847
262144,29664,28961,64166,63370,66421,106596
524288,38156,37654,103467,108407,111877,190937
1048576,52438,52384,187218,188444,203379,348523
2097152,82173,82120,344225,352815,377834,680140
4194304,138347,138316,670609,684105,722185,1314757
8388608,251814,257587,1304006,1343683,1432916,
16777216,489142,480139,,,,
33554432,950633,935013,,,,
67108864,1897044,1881091,,,,
