iterations,1,2,3,4,5,6
1,20879,54212,26992,54299,26652,54536
2,21047,20748,21202,21218,21160,20889
4,21314,23030,20388,21336,21422,20470
8,20308,21099,21261,21337,21485,21647
16,20739,21116,21311,21568,20833,21089
32,21089,21082,21196,21467,21239,20703
64,21162,21936,20906,21340,21234,20560
128,21177,23770,20760,21677,21461,21832
256,21210,22726,21434,21043,20742,21335
512,20644,21448,21348,20855,21991,21458
1024,21150,22992,20635,21062,20934,22061
2048,21518,22860,21050,21664,21721,22635
4096,21201,21549,22178,21571,22169,22701
8192,20802,21013,25343,22377,22638,24446
16384,21494,21323,23992,23947,23457,27146
32768,21841,21627,26672,27042,26564,32683
65536,23226,23981,32243,32412,32934,42293
131072,24455,25539,41429,42719,44319,64017
262144,28644,29251,62004,63405,66300,103587
524288,37332,37723,102285,102969,111659,191104
1048576,53981,55132,184042,189398,205112,353801
2097152,84767,85895,370466,353046,376751,678345
4194304,148748,193599,682013,698710,732460,1394890
8388608,274392,281130,1318983,1351477,1439156,
16777216,526461,536215,,,,
33554432,1026627,1051616,,,,
